Latitude,Longitude,Duration
18.4987126264,73.8498628402,41.89525
18.5085623522,73.7904344615,25.25
19.5349833046,72.9171870295,2.8
20.0247004861,72.9236522907,35.733
20.0246775677,72.9236173403,4.73333333333
20.0246792866,72.9236219239,0.816666666667
20.4899030746,72.9386420252,5.88333333333
20.4899408898,72.9380885475,1.16666666667
20.9098167488,73.0286537709,26.2
21.1268481883,72.9711768881,31.1666666667
22.434932566,73.0873585032,59.4333333333
22.7081729315,72.8230052935,1.31666666667
23.2649812356,72.4638183213,1.96666666667
23.3060463014,72.4360315636,4.0
23.3060033295,72.4361066212,-676.633333333
23.5824631476,72.1351849223,85.8
23.6022416674,72.2783717799,2.51666666667
23.857641831,72.1026981879,60.8166666667
23.8944503898,72.3691283713,50.6333333333
23.8937250246,72.3688401733,4.65
23.8936952308,72.3689599216,3.23333333333
24.7791816246,73.5034958094,49.9
24.6169565093,73.985342836,2.46666666667
24.6167880595,73.9855296204,10.3166666667
24.8697164811,74.6164283054,3.56666666667
24.8697267944,74.6164666936,-624.246366667
25.0198229559,74.6374564472,3.86666666667
25.0737583835,75.051196496,48.39785
25.1214101776,75.7169608383,9.01666666667
25.1178366369,75.7288692032,8.35
25.2124085575,75.8241876884,1.36666666667
25.2122452643,75.8236376485,23.9170333333
25.6051485394,75.4757138901,7.03333333333
25.636905325,75.4627352392,6.36666666667
26.1088837181,75.7439889992,8.68333333333
26.2891140473,75.8938227458,38.5166666667
26.7395858785,75.996612607,1.78333333333
26.8992464325,76.3303367403,0.6
26.8992710697,76.3303831499,-725.35255
27.0961779226,76.2969430129,82.0655666667
27.4001133821,76.3129314137,0.633333333333
27.4042816536,76.3013966176,1.18333333333
27.4031065161,76.3051168357,21.4559333333
27.8016201987,76.2410383277,69.0263833333
27.9934621004,76.3881751597,10.1166666667
28.4448277465,76.6574999284,47.1833333333
28.8815451412,76.627168663,168.86035
28.8812546513,76.6274769146,-669.35
29.1506848443,77.0379854787,1.5
29.4572983107,76.9706869451,32.7838833333
29.4572885704,76.9706623079,6.41666666667
30.1097453837,76.8715135966,42.8562666667
30.1097992418,76.8715072941,7.93333333333
30.6615626482,76.8323702329,77.2166666667
30.6931630162,76.8140453083,68.1833333333
30.6598747131,76.8202785214,8.06666666667
30.6614927473,76.8323587737,85.2122833333
30.6695279142,76.8573735592,37.2809333333
30.6615030606,76.8323988808,-679.033983333
30.6931727565,76.8140453083,75.7666666667
30.6931842156,76.8140504649,44.1166666667
30.7193426259,76.8017318619,58.5
30.7088397277,76.80287033,5.21666666667
30.6615397299,76.8323622115,280.37645
30.6696396411,76.8490988958,2.81666666667
30.6694608781,76.8490771234,0.283333333333
30.6675575107,76.8478853701,15.5166666667
30.6609914088,76.8296721724,5.88333333333
30.6614944662,76.8323255422,71.5505
30.661511082,76.8323117912,17.1166666667
30.661469256,76.8322373066,0.38365
30.6337529722,76.8236601211,49.2666666667
30.6337443778,76.8236217329,0.1685
30.6614944662,76.8323868487,-1058.93333333
30.2033306701,76.8806872316,49.25
30.2002172148,76.8761287756,91.9666666667
30.2033575992,76.8806637403,193.416666667
30.2038692509,76.8813071725,7.15
30.6615311355,76.8323622115,18.9379166667
30.661511082,76.8323518982,44.1333333333
30.79450272,76.9158955179,2.9
31.2292330953,76.7173288048,5.05
31.2292050204,76.7173018758,2.38333333333
31.2398465745,76.7235683205,60.65
31.2800413167,76.7462568954,4.13333333333
31.3337951165,76.7608667586,94.3
31.7040103896,76.9776638581,3.66666666667
31.7040069519,76.9776690147,5.2
31.7043404136,77.0318021129,1.13333333333
31.7043833855,77.0318639924,5.0
31.77120178,77.2013324463,47.55
32.1998358793,77.1880220525,1.93333333333
32.2627896702,77.1882638409,-867.497416667
32.2629225965,77.1882724353,4.36666666667
32.2503375679,77.1901706461,12.5833333333
32.2500396296,77.1903419606,0.6
32.3252426956,77.2016321035,11.4333333333
32.3400662722,77.2168607616,2.56666666667
32.3400760125,77.2168573238,0.383333333333
32.3390045805,77.217308815,1.3392
32.3390080182,77.2173105338,1.05
32.3505960994,77.2220672335,17.5166666667
32.3505708893,77.2220437422,2.15
32.3627760465,77.2347370599,1.11666666667
32.3644244475,77.2426072148,1.33333333333
